Namespace(I0=20, N=10000, R0=0, beta=0.5, data='italy_i.csv', day_max=58, day_min=33, delta=0.2, k_inf=1, k_rec=1, llavor=1, nseed=1, seed0=1)
         1198205 function calls (1185443 primitive calls) in 3.472 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Gtk.py:1332(TreeView)
        1    0.000    0.000    0.000    0.000 Gtk.py:136(Widget)
        1    0.000    0.000    0.000    0.000 Gtk.py:1379(TreeViewColumn)
        1    0.000    0.000    0.000    0.000 Gtk.py:1406(TreeSelection)
        1    0.000    0.000    0.000    0.000 Gtk.py:1431(Button)
        1    0.000    0.000    0.000    0.000 Gtk.py:1461(LinkButton)
        1    0.000    0.000    0.000    0.000 Gtk.py:1471(Label)
        1    0.000    0.000    0.000    0.000 Gtk.py:1481(Adjustment)
        1    0.000    0.000    0.000    0.000 Gtk.py:1507(Table)
        1    0.000    0.000    0.000    0.000 Gtk.py:1520(ScrolledWindow)
        1    0.000    0.000    0.000    0.000 Gtk.py:1531(HScrollbar)
        1    0.000    0.000    0.000    0.000 Gtk.py:1539(VScrollbar)
        1    0.000    0.000    0.000    0.000 Gtk.py:1548(Paned)
        1    0.000    0.000    0.000    0.000 Gtk.py:1561(Arrow)
        1    0.000    0.000    0.000    0.000 Gtk.py:1569(IconSet)
        1    0.000    0.000    0.000    0.000 Gtk.py:1587(Viewport)
        1    0.000    0.000    0.000    0.000 Gtk.py:1597(TreeModelFilter)
        1    0.000    0.000    0.000    0.000 Gtk.py:1611(Menu)
        2    0.000    0.000    0.000    0.000 Gtk.py:1620(main_quit)
        2    1.901    0.951    2.036    1.018 Gtk.py:1628(main)
        1    0.000    0.000    0.000    0.000 Gtk.py:173(Container)
        6    0.000    0.000    0.000    0.000 Gtk.py:184(__bool__)
        1    0.002    0.002    0.024    0.024 Gtk.py:22(<module>)
        1    0.000    0.000    0.000    0.000 Gtk.py:220(Editable)
        1    0.000    0.000    0.000    0.000 Gtk.py:233(Action)
        1    0.000    0.000    0.000    0.000 Gtk.py:241(RadioAction)
        1    0.000    0.000    0.000    0.000 Gtk.py:249(ActionGroup)
        1    0.000    0.000    0.000    0.000 Gtk.py:410(UIManager)
        1    0.000    0.000    0.000    0.000 Gtk.py:426(ComboBox)
        1    0.000    0.000    0.000    0.000 Gtk.py:434(Box)
        1    0.000    0.000    0.000    0.000 Gtk.py:444(SizeGroup)
        1    0.000    0.000    0.000    0.000 Gtk.py:456(MenuItem)
        1    0.000    0.000    0.000    0.000 Gtk.py:472(Builder)
        1    0.000    0.000    0.000    0.000 Gtk.py:517(Window)
        2    0.000    0.000    0.000    0.000 Gtk.py:518(__init__)
        1    0.000    0.000    0.000    0.000 Gtk.py:530(Dialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:58(PyGTKDeprecationWarning)
        1    0.000    0.000    0.000    0.000 Gtk.py:621(MessageDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:643(ColorSelectionDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:652(FileChooserDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:663(FontSelectionDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:673(RecentChooserDialog)
        1    0.000    0.000    0.000    0.000 Gtk.py:685(IconView)
        1    0.000    0.000    0.000    0.000 Gtk.py:699(ToolButton)
        1    0.000    0.000    0.000    0.000 Gtk.py:709(IMContext)
        1    0.000    0.000    0.000    0.000 Gtk.py:717(RecentInfo)
        1    0.000    0.000    0.000    0.000 Gtk.py:725(TextBuffer)
        1    0.000    0.000    0.000    0.000 Gtk.py:803(TextIter)
        1    0.000    0.000    0.000    0.000 Gtk.py:812(TreeModel)
        1    0.000    0.000    0.000    0.000 Gtk.py:956(TreeSortable)
        1    0.000    0.000    0.000    0.000 Gtk.py:971(TreeModelSort)
        1    0.000    0.000    0.000    0.000 Gtk.py:981(ListStore)
        1    0.000    0.000    0.000    0.000 Image.py:2467(ImagePointHandler)
