Áreas de movilidad;Tipo de dato;Periodo;Total
Donostia/San Sebastián (distrito 07);Personas;18/11/2019;43.399
Doña Mencía y Zuheros;Personas;18/11/2019;5.279
Dos Hermanas (distrito 01);Personas;18/11/2019;11.526
Dos Hermanas (distrito 02);Personas;18/11/2019;18.713
Dos Hermanas (distrito 03);Personas;18/11/2019;22.494
Dos Hermanas (distrito 04);Personas;18/11/2019;37.708
Dos Hermanas (distrito 05);Personas;18/11/2019;43.527
Dos Torres y otros municipios;Personas;18/11/2019;5.779
Dosrius;Personas;18/11/2019;5.481
Dueñas y otros municipios;Personas;18/11/2019;4.908
Durango;Personas;18/11/2019;29.791
Dúrcal y Nigüelas;Personas;18/11/2019;8.188
Écija;Personas;18/11/2019;39.873
Eibar;Personas;18/11/2019;27.522
Eivissa;Personas;18/11/2019;49.783
Ejea de los Caballeros y Biota;Personas;18/11/2019;17.724
Ejido, El (sección 006 y otras secciones del distrito 01);Personas;18/11/2019;31.455
Ejido, El (sección 012 y otras secciones del distrito 01);Personas;18/11/2019;25.195
Ejido, El (sección 018 y otras secciones del distrito 01);Personas;18/11/2019;26.944
Elche de la Sierra y otros municipios;Personas;18/11/2019;7.190
Elche/Elx (distrito 01);Personas;18/11/2019;30.160
Elche/Elx (distrito 02);Personas;18/11/2019;34.165
Elche/Elx (distrito 03);Personas;18/11/2019;34.718
Elche/Elx (distrito 04);Personas;18/11/2019;29.896
Elche/Elx (distrito 05);Personas;18/11/2019;32.386
Elche/Elx (distrito 07 y sección 023 del distrito 06);Personas;18/11/2019;43.119
Elche/Elx (secciones 001 a 022 del distrito 06);Personas;18/11/2019;28.073
Elda (distrito 01);Personas;18/11/2019;6.514
Elda (distrito 04);Personas;18/11/2019;25.806
Elda (distrito 05);Personas;18/11/2019;13.208
Elda (distritos 02 y 03);Personas;18/11/2019;7.090
Elgoibar;Personas;18/11/2019;11.613
Eliana, l';Personas;18/11/2019;18.235
Elorrio;Personas;18/11/2019;7.372
Enguera y Chella;Personas;18/11/2019;7.187
Entrambasaguas;Personas;18/11/2019;5.163
Entrena y otros municipios;Personas;18/11/2019;5.267
Épila y otros municipios;Personas;18/11/2019;7.822
Erandio;Personas;18/11/2019;24.350
Ermua;Personas;18/11/2019;15.880
Errenteria;Personas;18/11/2019;39.471
Erro y otros municipios;Personas;18/11/2019;4.986
Escala, L';Personas;18/11/2019;10.339
Escalona y otros municipios;Personas;18/11/2019;5.620
Escorial, El;Personas;18/11/2019;16.162
Eskoriatza y Elgeta;Personas;18/11/2019;4.299
Esparreguera;Personas;18/11/2019;22.251
Espartinas;Personas;18/11/2019;15.791
Espinar, El;Personas;18/11/2019;8.986
Espluga de Francolí, L' y otros municipios;Personas;18/11/2019;5.318
Esplugues de Llobregat;Personas;18/11/2019;46.680
Esporles;Personas;18/11/2019;5.062
Esquivias y Borox;Personas;18/11/2019;9.374
Estella-Lizarra;Personas;18/11/2019;13.810
Estepa y Lora de Estepa;Personas;18/11/2019;13.367
Estepona (distrito 01);Personas;18/11/2019;28.388
Estepona (distrito 02);Personas;18/11/2019;21.807
Estepona (distrito 03);Personas;18/11/2019;18.091
Esteribar y otros municipios;Personas;18/11/2019;5.662
Estivella y otros municipios;Personas;18/11/2019;5.537
Estrada, A;Personas;18/11/2019;20.479
Etxarri Aranatz y otros municipios;Personas;18/11/2019;5.377
Etxebarri;Personas;18/11/2019;11.563
Ezcaray y otros municipios;Personas;18/11/2019;5.051
Fabero y Páramo del Sil;Personas;18/11/2019;5.752
Falces y otros municipios;Personas;18/11/2019;3.809
Falset y otros municipios;Personas;18/11/2019;5.181
Felanitx;Personas;18/11/2019;17.780
Fene y Cabanas;Personas;18/11/2019;16.225
Fermoselle y otros municipios;Personas;18/11/2019;4.996
Fernán-Núñez;Personas;18/11/2019;9.663
Ferreries y Migjorn Gran, Es;Personas;18/11/2019;6.182
Ferrol (distrito 01);Personas;18/11/2019;7.752
Ferrol (distrito 02);Personas;18/11/2019;15.815
Ferrol (distrito 06);Personas;18/11/2019;13.964
Ferrol (distrito 07);Personas;18/11/2019;10.066
Ferrol (distrito 08);Personas;18/11/2019;8.235
Ferrol (distritos 03 a 05);Personas;18/11/2019;10.233
Figueres;Personas;18/11/2019;46.654
Finestrat;Personas;18/11/2019;6.715
Fiñana y otros municipios;Personas;18/11/2019;5.593
Firgas;Personas;18/11/2019;7.455
Fisterra;Personas;18/11/2019;4.708
Flaçà y otros municipios;Personas;18/11/2019;5.018
Flix y otros municipios;Personas;18/11/2019;5.412
Foios;Personas;18/11/2019;7.367
Fondó de les Neus, el/Hondón de las Nieves y otros municipios;Personas;18/11/2019;7.512
Fonfría y otros municipios;Personas;18/11/2019;4.894
Fonsagrada, A y otros municipios;Personas;18/11/2019;5.289
Font d'En Carròs, la y otros municipios;Personas;18/11/2019;5.297
Font-rubí y otros municipios;Personas;18/11/2019;4.846
Forcarei y Lama, A;Personas;18/11/2019;5.833
Formentera;Personas;18/11/2019;12.111
Formentera del Segura y otros municipios;Personas;18/11/2019;9.940
Fortuna;Personas;18/11/2019;10.112
Forua y otros municipios;Personas;18/11/2019;3.835
Foz;Personas;18/11/2019;9.980
Fraga y Torrente de Cinca;Personas;18/11/2019;16.187
Franco, El y Coaña;Personas;18/11/2019;7.111
Franqueses del Vallès, Les;Personas;18/11/2019;20.092
Fregenal de la Sierra y otros municipios;Personas;18/11/2019;8.149
Frontera y Pinar de El Hierro, El;Personas;18/11/2019;5.963
Fuencaliente y otros municipios;Personas;18/11/2019;4.262
Fuendejalón y otros municipios;Personas;18/11/2019;4.092
Fuengirola (distrito 01);Personas;18/11/2019;46.608
Fuengirola (distrito 02);Personas;18/11/2019;13.739
Fuengirola (distrito 03);Personas;18/11/2019;19.962
Fuenlabrada (distrito 01);Personas;18/11/2019;8.637
Fuenlabrada (distrito 02);Personas;18/11/2019;22.186
Fuenlabrada (distrito 03);Personas;18/11/2019;16.366
Fuenlabrada (distrito 04);Personas;18/11/2019;27.360
Fuenlabrada (distrito 05);Personas;18/11/2019;11.151
Fuenlabrada (distrito 06);Personas;18/11/2019;34.093
Fuenlabrada (distrito 07);Personas;18/11/2019;24.982
Fuenlabrada (distrito 08);Personas;18/11/2019;23.006
Fuenlabrada (distrito 09);Personas;18/11/2019;25.919
Fuenmayor y otros municipios;Personas;18/11/2019;8.151
Fuensalida;Personas;18/11/2019;11.370
Fuente Álamo de Murcia;Personas;18/11/2019;16.583
Fuente de Cantos y Calzadilla de los Barros;Personas;18/11/2019;5.476
Fuente de San Esteban, La y otros municipios;Personas;18/11/2019;5.344
Fuente del Maestre;Personas;18/11/2019;6.743
Fuente el Fresno y Cortijos, Los;Personas;18/11/2019;4.104
Fuente el Saz de Jarama;Personas;18/11/2019;6.696
Fuente Obejuna y otros municipios;Personas;18/11/2019;6.082
Fuente Palmera y Fuente Carreteros;Personas;18/11/2019;10.914
Fuente Vaqueros y otros municipios;Personas;18/11/2019;11.199
Fuente-Álamo y otros municipios;Personas;18/11/2019;8.235
Fuenteguinaldo y otros municipios;Personas;18/11/2019;4.972
Fuentes de Andalucía;Personas;18/11/2019;7.111
Fuentes de Ebro;Personas;18/11/2019;4.504
Fuentes de León y otros municipios;Personas;18/11/2019;5.500
Fuentes de Oñoro y otros municipios;Personas;18/11/2019;4.928
Fuentesaúco y otros municipios;Personas;18/11/2019;5.000
Fuentespina y otros municipios;Personas;18/11/2019;5.990
Fuentidueña de Tajo y otros municipios;Personas;18/11/2019;5.149
Fustiñana y otros municipios;Personas;18/11/2019;4.843
Gabias, Las;Personas;18/11/2019;21.115
Gádor y otros municipios;Personas;18/11/2019;4.881
Galapagar;Personas;18/11/2019;33.742
Galdakao;Personas;18/11/2019;29.326
Gáldar;Personas;18/11/2019;24.242
Galindo y Perahuy y otros municipios;Personas;18/11/2019;5.474
Gallur y otros municipios;Personas;18/11/2019;5.988
Gamiz-Fika y otros municipios;Personas;18/11/2019;4.151
Gandesa y Batea;Personas;18/11/2019;4.954
Gandia (distrito 02);Personas;18/11/2019;26.322
Gandia (distrito 04);Personas;18/11/2019;13.237
Gandia (distrito 05);Personas;18/11/2019;12.218
Gandia (distrito 06);Personas;18/11/2019;9.554
Gandia (distrito 07) y Benirredrà;Personas;18/11/2019;6.427
Gandia (distritos 01 y 03);Personas;18/11/2019;8.396
Garachico y Tanque, El;Personas;18/11/2019;7.634
Garray y otros municipios;Personas;18/11/2019;4.632
Garriga, La;Personas;18/11/2019;16.514
Garrucha;Personas;18/11/2019;9.212
Gata de Gorgos;Personas;18/11/2019;6.049
Gavà;Personas;18/11/2019;46.771
Gelida y Castellví de Rosanes;Personas;18/11/2019;9.417
Gelves;Personas;18/11/2019;10.184
Genovés y otros municipios;Personas;18/11/2019;5.359
Gerena;Personas;18/11/2019;7.585
Gérgal y otros municipios;Personas;18/11/2019;5.227
Geria y otros municipios;Personas;18/11/2019;5.915
Gerindote y otros municipios;Personas;18/11/2019;5.729
Gernika-Lumo;Personas;18/11/2019;17.016
Getafe (distrito 01);Personas;18/11/2019;26.582
Getafe (distrito 02);Personas;18/11/2019;34.600
Getafe (distrito 03);Personas;18/11/2019;68.900
Getafe (distrito 04);Personas;18/11/2019;53.292
Getaria y otros municipios;Personas;18/11/2019;6.677
Getxo (distrito 01);Personas;18/11/2019;13.692
Getxo (distrito 02);Personas;18/11/2019;38.084
Getxo (distrito 03);Personas;18/11/2019;26.170
Gibraleón y San Bartolomé de la Torre;Personas;18/11/2019;16.343
Gijón (SCD Alto Pumarin);Personas;18/11/2019;9.449
Gijón (SCD Ceares/Ciares);Personas;18/11/2019;14.502
Gijón (SCD Contrueces);Personas;18/11/2019;15.610
Gijón (SCD El Centro-Cimavilla);Personas;18/11/2019;32.960
Gijón (SCD El Coto-Les Mestes-Viesques);Personas;18/11/2019;20.242
Gijón (SCD El Llano);Personas;18/11/2019;33.500
Gijón (SCD El Natahoyo-Moreda);Personas;18/11/2019;17.590
Gijón (SCD El Polígono-Laviada);Personas;18/11/2019;23.846
Gijón (SCD Jove-Veriña-Tremañes);Personas;18/11/2019;6.132
Gijón (SCD L¿Arena-Parque);Personas;18/11/2019;20.455
Gijón (SCD La Calzada);Personas;18/11/2019;25.172
Gijón (SCD Pumarín);Personas;18/11/2019;16.488
Gijón (SCD Roces-Montevil);Personas;18/11/2019;9.728
Gijón (SCD Rural);Personas;18/11/2019;26.106
Gilena y Aguadulce;Personas;18/11/2019;5.747
Gines;Personas;18/11/2019;13.420
Girona (distrito 01);Personas;18/11/2019;7.866
Girona (distrito 02);Personas;18/11/2019;35.081
Girona (distrito 03);Personas;18/11/2019;39.014
Girona (distrito 06);Personas;18/11/2019;9.573
Girona (distritos 04 y 05);Personas;18/11/2019;10.318
Gironella y otros municipios;Personas;18/11/2019;8.964
Godella;Personas;18/11/2019;13.088
Gójar;Personas;18/11/2019;5.795
Golmayo y otros municipios;Personas;18/11/2019;5.223
Golmés y otros municipios;Personas;18/11/2019;5.055
Gondomar;Personas;18/11/2019;14.286
Gorliz;Personas;18/11/2019;5.785
Gozón;Personas;18/11/2019;10.333
Grado y Regueras, Las;Personas;18/11/2019;11.610
Granada (distrito 01);Personas;18/11/2019;22.277
Granada (distrito 02);Personas;18/11/2019;57.439
Granada (distrito 03);Personas;18/11/2019;63.658
Granada (distrito 06);Personas;18/11/2019;28.465
Granada (distrito 07);Personas;18/11/2019;34.696
Granada (distrito 09);Personas;18/11/2019;15.146
Granada (distritos 04, 05 y 08);Personas;18/11/2019;10.781
Granada, La y otros municipios;Personas;18/11/2019;5.239
Granadilla de Abona;Personas;18/11/2019;50.146
Granollers (distrito 01);Personas;18/11/2019;15.924
Granollers (distrito 02);Personas;18/11/2019;11.256
Granollers (distrito 03);Personas;18/11/2019;15.846
Granollers (distrito 04);Personas;18/11/2019;18.249
Grañén y otros municipios;Personas;18/11/2019;4.779
Graus y otros municipios;Personas;18/11/2019;5.381
Grijota y otros municipios;Personas;18/11/2019;5.785
Griñón;Personas;18/11/2019;10.319
Grove, O;Personas;18/11/2019;10.650
Guadahortuna y otros municipios;Personas;18/11/2019;4.990
Guadalajara (distrito 01);Personas;18/11/2019;20.805
Guadalajara (distrito 02);Personas;18/11/2019;26.990
Guadalajara (distrito 03);Personas;18/11/2019;17.116
Guadalajara (distrito 04) y Chiloeches;Personas;18/11/2019;16.889
Guadalajara (distrito 05);Personas;18/11/2019;7.650
Guadalcanal y otros municipios;Personas;18/11/2019;4.946
Guadalix de la Sierra y Navalafuente;Personas;18/11/2019;7.663
Guadalupe y otros municipios;Personas;18/11/2019;4.967
Guadarrama;Personas;18/11/2019;16.032
Guadassuar;Personas;18/11/2019;5.893
Guadix;Personas;18/11/2019;18.422
Gualchos;Personas;18/11/2019;5.193
Guancha, La;Personas;18/11/2019;5.520
Guarda, A;Personas;18/11/2019;9.977
Guardamar del Segura;Personas;18/11/2019;15.348
Guardia de Jaén, La;Personas;18/11/2019;5.011
Guardia, La y otros municipios;Personas;18/11/2019;5.181
Guardo;Personas;18/11/2019;5.995
Guareña y San Pedro de Mérida;Personas;18/11/2019;7.807
Guarromán y otros municipios;Personas;18/11/2019;5.921
Güejar Sierra y otros municipios;Personas;18/11/2019;5.540
Güeñes y otros municipios;Personas;18/11/2019;11.351
Guía de Isora;Personas;18/11/2019;21.368
Guijo de Galisteo y otros municipios;Personas;18/11/2019;5.162
Guijuelo;Personas;18/11/2019;5.633
Guillena;Personas;18/11/2019;12.788
Güímar y Fasnia;Personas;18/11/2019;22.976
Guissona;Personas;18/11/2019;7.136
Guitiriz;Personas;18/11/2019;5.484
Guntín y Lugo (distrito 07);Personas;18/11/2019;5.019
Gurb y otros municipios;Personas;18/11/2019;5.150
Haría;Personas;18/11/2019;5.123
Haro y Briñas;Personas;18/11/2019;11.601
Hellín;Personas;18/11/2019;30.306
Herencia;Personas;18/11/2019;8.390
Hernani;Personas;18/11/2019;20.354
Herrera;Personas;18/11/2019;6.461
Herrera de Pisuerga y otros municipios;Personas;18/11/2019;4.978
Herrera del Duque y otros municipios;Personas;18/11/2019;7.362
Hervás y otros municipios;Personas;18/11/2019;5.113
Higuera de Vargas y otros municipios;Personas;18/11/2019;5.476
Hinojos y Chucena;Personas;18/11/2019;6.198
Hinojosa del Duque;Personas;18/11/2019;6.788
Hondarribia;Personas;18/11/2019;16.828
Honrubia y otros municipios;Personas;18/11/2019;6.253
Hontanares de Eresma y otros municipios;Personas;18/11/2019;5.030
Horcajo de Santiago y otros municipios;Personas;18/11/2019;4.932
Hornachos y otros municipios;Personas;18/11/2019;5.357
Hospitalet de LLobregat, L¿ (SCD  Bellvitge);Personas;18/11/2019;24.516
Hospitalet de LLobregat, L¿ (SCD  La Torrassa);Personas;18/11/2019;26.459
Hospitalet de LLobregat, L¿ (SCD  Santa Eulalia 2);Personas;18/11/2019;13.808
Hospitalet de LLobregat, L¿ (SCD Can Serra);Personas;18/11/2019;10.030
Hospitalet de LLobregat, L¿ (SCD Centre y sección 041 del distrito 01);Personas;18/11/2019;25.670
Hospitalet de LLobregat, L¿ (SCD Collblanc);Personas;18/11/2019;25.453
Hospitalet de LLobregat, L¿ (SCD Gornal);Personas;18/11/2019;6.887
Hospitalet de LLobregat, L¿ (SCD La Florida);Personas;18/11/2019;28.850
Hospitalet de LLobregat, L¿ (SCD Les Planes);Personas;18/11/2019;16.163
Hospitalet de LLobregat, L¿ (SCD Pubilla Casas);Personas;18/11/2019;29.621
Hospitalet de LLobregat, L¿ (SCD Sant Josep);Personas;18/11/2019;19.643
Hospitalet de LLobregat, L¿ (SCD Santa Eulalia 1 y secciones 028 y 029 del distrito 03);Personas;18/11/2019;31.591
Hospitalet de LLobregat, L¿ (SCD Santfeliu);Personas;18/11/2019;6.232
Hostalets de Pierola, Els y Bruc, El;Personas;18/11/2019;5.023
Hostalric y otros municipios;Personas;18/11/2019;7.947
Hoyo de Manzanares;Personas;18/11/2019;8.434
Huarte/Uharte;Personas;18/11/2019;7.101
Huelma y Cabra del Santo Cristo;Personas;18/11/2019;7.555
Huelva (distrito 01);Personas;18/11/2019;19.346
Huelva (distrito 02);Personas;18/11/2019;16.145
Huelva (distrito 03);Personas;18/11/2019;13.463
Huelva (distrito 04);Personas;18/11/2019;16.455
Huelva (distrito 05);Personas;18/11/2019;17.671
Huelva (distrito 06);Personas;18/11/2019;10.506
Huelva (distrito 07);Personas;18/11/2019;30.379
Huelva (distrito 08);Personas;18/11/2019;19.698
Huércal de Almería;Personas;18/11/2019;17.651
Huércal-Overa;Personas;18/11/2019;19.127
Huerta de Rey y otros municipios;Personas;18/11/2019;5.175
Huesca (distrito 01);Personas;18/11/2019;4.096
Huesca (distrito 02);Personas;18/11/2019;9.062
Huesca (distrito 03);Personas;18/11/2019;13.526
Huesca (distrito 04);Personas;18/11/2019;6.193
Huesca (distrito 05);Personas;18/11/2019;4.002
Huesca (distrito 06);Personas;18/11/2019;4.553
Huesca (distrito 07);Personas;18/11/2019;6.989
Huesca (distrito 08);Personas;18/11/2019;4.711
Huéscar;Personas;18/11/2019;7.253
Huete y otros municipios;Personas;18/11/2019;4.830
Huétor de Santillán y otros municipios;Personas;18/11/2019;4.824
Huétor Tájar;Personas;18/11/2019;10.352
Huétor Vega;Personas;18/11/2019;12.039
Huévar del Aljarafe y otros municipios;Personas;18/11/2019;6.188
Humanes de Madrid;Personas;18/11/2019;19.743
Humanes y otros municipios;Personas;18/11/2019;5.257
Ibarra;Personas;18/11/2019;4.199
Ibeas de Juarros y otros municipios;Personas;18/11/2019;3.750
Ibi;Personas;18/11/2019;23.489
Icod de los Vinos;Personas;18/11/2019;23.254
Idiazabal y otros municipios;Personas;18/11/2019;4.958
Igorre y otros municipios;Personas;18/11/2019;8.837
Igualada;Personas;18/11/2019;39.967
Igüeña y otros municipios;Personas;18/11/2019;4.970
Illa de Arousa, A;Personas;18/11/2019;4.926
Illescas;Personas;18/11/2019;28.894
Illora y Valderrubio;Personas;18/11/2019;12.140
Illueca y otros municipios;Personas;18/11/2019;5.931
Inca;Personas;18/11/2019;33.319
Ingenio;Personas;18/11/2019;31.321
Iniesta y Herrumblar, El;Personas;18/11/2019;4.969
Irun (distrito 01);Personas;18/11/2019;7.550
Irun (distrito 02);Personas;18/11/2019;16.867
Irun (distrito 03);Personas;18/11/2019;26.711
Irun (distrito 04);Personas;18/11/2019;11.273
Iruña Oka/Iruña de Oca y otros municipios;Personas;18/11/2019;5.943
Irurtzun y otros municipios;Personas;18/11/2019;6.409
Íscar;Personas;18/11/2019;6.344
Isla Cristina;Personas;18/11/2019;21.264
Isla Mayor;Personas;18/11/2019;5.839
Iurreta y Muxika;Personas;18/11/2019;5.127
Ivars d'Urgell y otros municipios;Personas;18/11/2019;6.419
Iznalloz;Personas;18/11/2019;5.134
Jabugo y otros municipios;Personas;18/11/2019;5.042
Jaca;Personas;18/11/2019;12.988
Jadraque y otros municipios;Personas;18/11/2019;4.947
Jaén (distrito 01);Personas;18/11/2019;9.154
Jaén (distrito 02);Personas;18/11/2019;8.428
Jaén (distrito 03);Personas;18/11/2019;17.810
Jaén (distrito 04);Personas;18/11/2019;26.190
Jaén (distrito 05);Personas;18/11/2019;27.759
Jaén (distrito 06);Personas;18/11/2019;7.030
Jaén (distrito 09);Personas;18/11/2019;7.346
Jaén (distritos 07 y 08);Personas;18/11/2019;9.282
Jaraíz de la Vera;Personas;18/11/2019;6.478
Jarandilla de la Vera y otros municipios;Personas;18/11/2019;5.086
Jarque y otros municipios;Personas;18/11/2019;3.648
Jávea/Xàbia;Personas;18/11/2019;27.604
Jerez de la Frontera (distrito 01);Personas;18/11/2019;4.819
Jerez de la Frontera (distrito 02);Personas;18/11/2019;28.890
Jerez de la Frontera (distrito 03);Personas;18/11/2019;21.075
Jerez de la Frontera (distrito 04);Personas;18/11/2019;23.610
Jerez de la Frontera (distrito 05);Personas;18/11/2019;12.788
Jerez de la Frontera (distrito 06);Personas;18/11/2019;69.144
Jerez de la Frontera (distrito 07);Personas;18/11/2019;28.635
Jerez de la Frontera (distrito 09);Personas;18/11/2019;16.855
Jerez de la Frontera (distritos 08 y 10);Personas;18/11/2019;6.933
Jerez de los Caballeros y otros municipios;Personas;18/11/2019;10.809
Jerez del Marquesado y otros municipios;Personas;18/11/2019;5.123
Jijona/Xixona;Personas;18/11/2019;6.865
Jimena de la Frontera y otros municipios;Personas;18/11/2019;12.753
Jódar;Personas;18/11/2019;11.667
Jonquera, La y otros municipios;Personas;18/11/2019;5.369
Jumilla;Personas;18/11/2019;25.600
Juneda y otros municipios;Personas;18/11/2019;12.333
Karrantza Harana/Valle de Carranza y otros municipios;Personas;18/11/2019;4.534
Lagartera y otros municipios;Personas;18/11/2019;5.996
Laguardia y otros municipios;Personas;18/11/2019;7.403
Laguna de Duero;Personas;18/11/2019;22.725
Laguna de Negrillos y otros municipios;Personas;18/11/2019;5.609
Lakuntza y otros municipios;Personas;18/11/2019;3.878
Lalín;Personas;18/11/2019;20.218
Lanaja y otros municipios;Personas;18/11/2019;4.777
Láncara y otros municipios;Personas;18/11/2019;6.094
Landete y otros municipios;Personas;18/11/2019;4.935
Langreo;Personas;18/11/2019;39.420
Lanjarón y otros municipios;Personas;18/11/2019;5.589
Laracha, A;Personas;18/11/2019;11.347
Lardero;Personas;18/11/2019;10.500
Laredo;Personas;18/11/2019;11.025
Larraga y otros municipios;Personas;18/11/2019;5.805
Lasarte-Oria;Personas;18/11/2019;18.380
Lastrilla, La y otros municipios;Personas;18/11/2019;5.982
Laudio/Llodio;Personas;18/11/2019;18.102
Láujar de Andarax y otros municipios;Personas;18/11/2019;5.941
Laviana;Personas;18/11/2019;12.977
Lazkao;Personas;18/11/2019;5.742
Lebrija;Personas;18/11/2019;27.524
Lecrín y otros municipios;Personas;18/11/2019;4.817
Ledesma y otros municipios;Personas;18/11/2019;5.270
Leganés (distrito 01);Personas;18/11/2019;30.639
Leganés (distrito 02);Personas;18/11/2019;21.763
Leganés (distrito 03);Personas;18/11/2019;34.139
Leganés (distrito 04);Personas;18/11/2019;44.286
Leganés (distrito 05);Personas;18/11/2019;32.475
Leganés (distrito 06);Personas;18/11/2019;13.084
Leganés (distrito 07);Personas;18/11/2019;13.475
Legazpi;Personas;18/11/2019;8.371
Legorreta y otros municipios;Personas;18/11/2019;4.125
Legutio y otros municipios;Personas;18/11/2019;4.332
Leioa;Personas;18/11/2019;31.795
Leitza y otros municipios;Personas;18/11/2019;4.330
Lekeitio;Personas;18/11/2019;7.307
Lekunberri y otros municipios;Personas;18/11/2019;4.901
Lena;Personas;18/11/2019;10.890
León (distrito 01);Personas;18/11/2019;5.787
León (distrito 02);Personas;18/11/2019;9.550
León (distrito 03);Personas;18/11/2019;26.178
León (distrito 04);Personas;18/11/2019;18.271
León (distrito 05);Personas;18/11/2019;12.699
León (distrito 06);Personas;18/11/2019;17.978
León (distrito 07);Personas;18/11/2019;18.386
León (distrito 10);Personas;18/11/2019;8.924
León (distritos 08 y 09);Personas;18/11/2019;6.530
Lepe;Personas;18/11/2019;27.431
Lerma y otros municipios;Personas;18/11/2019;5.459
Lezo;Personas;18/11/2019;6.122
Librilla;Personas;18/11/2019;5.305
Liérganes y otros municipios;Personas;18/11/2019;4.360
Lillo y otros municipios;Personas;18/11/2019;5.934
Linares (distrito 04);Personas;18/11/2019;12.299
Linares (distrito 05);Personas;18/11/2019;6.000
Linares (distrito 06);Personas;18/11/2019;6.157
Linares (distrito 07);Personas;18/11/2019;5.727
Linares (distritos 01 y 08) y Torreblascopedro;Personas;18/11/2019;17.749
Linares (distritos 02 y 03);Personas;18/11/2019;12.028
Linares de Riofrío y otros municipios;Personas;18/11/2019;5.466
Línea de la Concepción, La (distrito 01);Personas;18/11/2019;8.299
Línea de la Concepción, La (distrito 02);Personas;18/11/2019;9.701
Línea de la Concepción, La (distrito 03);Personas;18/11/2019;17.044
Línea de la Concepción, La (distrito 04);Personas;18/11/2019;7.039
Línea de la Concepción, La (distrito 05);Personas;18/11/2019;7.601
Línea de la Concepción, La (distrito 06);Personas;18/11/2019;7.194
Línea de la Concepción, La (distrito 07);Personas;18/11/2019;6.269
Linyola y otros municipios;Personas;18/11/2019;5.570
Llagosta, La;Personas;18/11/2019;13.480
Llagostera;Personas;18/11/2019;8.453
Llamas de la Ribera y otros municipios;Personas;18/11/2019;5.290
Llançà y otros municipios;Personas;18/11/2019;6.359
Llanera;Personas;18/11/2019;13.702
Llanes;Personas;18/11/2019;13.568
Llanos de Aridane, Los;Personas;18/11/2019;20.467
Lleida (distrito 01);Personas;18/11/2019;26.526
Lleida (distrito 02);Personas;18/11/2019;15.724
Lleida (distrito 03);Personas;18/11/2019;8.556
Lleida (distrito 04);Personas;18/11/2019;22.089
Lleida (distrito 05);Personas;18/11/2019;13.069
Lleida (distrito 06);Personas;18/11/2019;27.708
Lleida (distrito 07) y otros municipios;Personas;18/11/2019;21.575
Lleida (distritos 08 y 09);Personas;18/11/2019;8.789
Llerena;Personas;18/11/2019;5.804
Lliçà d'Amunt;Personas;18/11/2019;15.256
Lliçà de Vall;Personas;18/11/2019;6.542
Llinars del Vallès;Personas;18/11/2019;9.938
Llíria y otros municipios;Personas;18/11/2019;26.221
Llívia;Personas;18/11/2019;1.417
Llombai y otros municipios;Personas;18/11/2019;6.383
Lloret de Mar;Personas;18/11/2019;38.373
Llosa de Ranes, la y otros municipios;Personas;18/11/2019;7.524
Lloseta;Personas;18/11/2019;5.988
Llubí y Maria de la Salut;Personas;18/11/2019;4.500
Llucmajor;Personas;18/11/2019;36.914
Llutxent y otros municipios;Personas;18/11/2019;5.991
Lobios y otros municipios;Personas;18/11/2019;5.174
Lodosa y Sartaguda;Personas;18/11/2019;6.131
Loeches;Personas;18/11/2019;8.791
Logroño (distrito 02);Personas;18/11/2019;43.891
Logroño (distrito 03);Personas;18/11/2019;26.999
Logroño (distrito 04);Personas;18/11/2019;54.873
Logroño (distrito 05);Personas;18/11/2019;17.201
Logroño (distritos 01 y 06);Personas;18/11/2019;8.172
Logrosán y otros municipios;Personas;18/11/2019;6.234
Loja y Zagra;Personas;18/11/2019;21.176
Lora del Río y Alcolea del Río;Personas;18/11/2019;22.035
Loranca de Tajuña y otros municipios;Personas;18/11/2019;6.202
Lorca (distrito 01);Personas;18/11/2019;60.914
Lorca (distrito 02);Personas;18/11/2019;33.490
Lorquí;Personas;18/11/2019;7.141
Losar de la Vera y otros municipios;Personas;18/11/2019;7.545
Lozoyuela-Navas-Sieteiglesias y otros municipios;Personas;18/11/2019;5.837
Lucena;Personas;18/11/2019;42.605
Lucena del Cid y otros municipios;Personas;18/11/2019;5.689
Lugo (distrito 02);Personas;18/11/2019;29.250
Lugo (distrito 05);Personas;18/11/2019;24.646
Lugo (distrito 06) y Friol;Personas;18/11/2019;5.076
Lugo (distrito 08) y otros municipios;Personas;18/11/2019;8.165
Lugo (distritos 01 y 03);Personas;18/11/2019;16.014
Lugo (distritos 04 y 09);Personas;18/11/2019;22.577
Luisiana, La y Cañada Rosal;Personas;18/11/2019;7.896
Lumbrales y otros municipios;Personas;18/11/2019;4.936
Luque y Carcabuey;Personas;18/11/2019;5.406
Macael y otros municipios;Personas;18/11/2019;6.259
Maçanet de la Selva;Personas;18/11/2019;7.006
Maceda y otros municipios;Personas;18/11/2019;5.982
Macotera y otros municipios;Personas;18/11/2019;4.916
Madrid (SCD Abrantes);Personas;18/11/2019;30.748
Madrid (SCD Acacias);Personas;18/11/2019;36.763
Madrid (SCD Adelfas);Personas;18/11/2019;18.466
Madrid (SCD Aguilas-1);Personas;18/11/2019;25.341
Madrid (SCD Aguilas-2);Personas;18/11/2019;14.047
Madrid (SCD Alameda de Osuna-Corralejos);Personas;18/11/2019;27.157
Madrid (SCD Almagro);Personas;18/11/2019;19.793
