Áreas de movilidad;Tipo de dato;Periodo;Total
Almudévar y otros municipios;Personas;18/11/2019;4.807
Almunia de Doña Godina, La;Personas;18/11/2019;7.951
Almuñécar;Personas;18/11/2019;26.514
Almussafes;Personas;18/11/2019;8.967
Álora;Personas;18/11/2019;12.985
Alosno y otros municipios;Personas;18/11/2019;7.981
Alovera;Personas;18/11/2019;12.735
Alp y otros municipios;Personas;18/11/2019;4.855
Alpedrete;Personas;18/11/2019;14.575
Alpera y otros municipios;Personas;18/11/2019;5.119
Alpicat;Personas;18/11/2019;6.255
Alquerías del Niño Perdido;Personas;18/11/2019;4.449
Altafulla;Personas;18/11/2019;5.243
Altea;Personas;18/11/2019;22.290
Altsasu/Alsasua y otros municipios;Personas;18/11/2019;9.280
Altura y otros municipios;Personas;18/11/2019;5.792
Alzira;Personas;18/11/2019;44.352
Amer y otros municipios;Personas;18/11/2019;9.454
Ames;Personas;18/11/2019;31.793
Ametlla de Mar, L';Personas;18/11/2019;6.787
Ametlla del Vallès, L';Personas;18/11/2019;8.462
Amorebieta-Etxano;Personas;18/11/2019;19.339
Ampolla, L' y Perelló, El;Personas;18/11/2019;5.975
Amposta;Personas;18/11/2019;20.738
Ampuero y otros municipios;Personas;18/11/2019;8.095
Amurrio;Personas;18/11/2019;10.350
Anchuelo y otros municipios;Personas;18/11/2019;6.361
Andoain;Personas;18/11/2019;14.637
Andorra;Personas;18/11/2019;7.472
Andosilla y otros municipios;Personas;18/11/2019;5.537
Andratx;Personas;18/11/2019;11.271
Andújar;Personas;18/11/2019;36.793
Anglès;Personas;18/11/2019;5.599
Anna y otros municipios;Personas;18/11/2019;5.333
Anoeta y otros municipios;Personas;18/11/2019;4.612
Ansoáin/Antsoain;Personas;18/11/2019;10.833
Antas y otros municipios;Personas;18/11/2019;8.424
Antequera y Valle de Abdalajís;Personas;18/11/2019;43.781
Antigua y Betancuria;Personas;18/11/2019;13.219
Añover de Tajo;Personas;18/11/2019;5.154
Aoiz/Agoitz y otros municipios;Personas;18/11/2019;4.835
Aracena e Higuera de la Sierra;Personas;18/11/2019;9.394
Arafo;Personas;18/11/2019;5.551
Arahal;Personas;18/11/2019;19.526
Aranda de Duero;Personas;18/11/2019;32.856
Aranguren;Personas;18/11/2019;10.859
Aranjuez (distrito 01);Personas;18/11/2019;14.520
Aranjuez (distrito 02);Personas;18/11/2019;16.624
Aranjuez (distrito 03);Personas;18/11/2019;17.959
Aranjuez (distrito 04);Personas;18/11/2019;10.504
Arbeca y otros municipios;Personas;18/11/2019;5.182
Arboç, L';Personas;18/11/2019;5.517
Arboleas y otros municipios;Personas;18/11/2019;8.526
Arbúcies;Personas;18/11/2019;6.556
Arcas y otros municipios;Personas;18/11/2019;5.352
Archena;Personas;18/11/2019;19.301
Archidona;Personas;18/11/2019;8.238
Arcicóllar y otros municipios;Personas;18/11/2019;5.464
Arcos de Jalón y otros municipios;Personas;18/11/2019;5.009
Arcos de la Frontera;Personas;18/11/2019;30.700
Arcos, Los y otros municipios;Personas;18/11/2019;4.092
Arenal, El y otros municipios;Personas;18/11/2019;4.751
Arenas de San Pedro y Poyales del Hoyo;Personas;18/11/2019;6.830
Arenys de Mar;Personas;18/11/2019;15.776
Arenys de Munt;Personas;18/11/2019;8.931
Ares;Personas;18/11/2019;5.732
Aretxabaleta;Personas;18/11/2019;7.128
Arévalo;Personas;18/11/2019;7.986
Argamasilla de Alba;Personas;18/11/2019;6.838
Argamasilla de Calatrava y otros municipios;Personas;18/11/2019;6.391
Arganda del Rey;Personas;18/11/2019;55.389
Argentona;Personas;18/11/2019;12.452
Argés;Personas;18/11/2019;6.418
Arico;Personas;18/11/2019;7.988
Ariza y otros municipios;Personas;18/11/2019;5.037
Arjona y otros municipios;Personas;18/11/2019;11.032
Armilla;Personas;18/11/2019;24.174
Arnedo;Personas;18/11/2019;14.875
Aroche y Rosal de la Frontera;Personas;18/11/2019;4.770
Arona (sección 011 y otras secciones del distrito 01);Personas;18/11/2019;22.288
Arona (sección 016 y otras secciones del distrito 01);Personas;18/11/2019;32.331
Arona (sección 026 y otras secciones del distrito 01);Personas;18/11/2019;26.597
Arrasate/Mondragón;Personas;18/11/2019;22.001
Arrecife (distrito 01);Personas;18/11/2019;22.165
Arrecife (distrito 02);Personas;18/11/2019;40.823
Arrigorriaga;Personas;18/11/2019;12.160
Arróniz y otros municipios;Personas;18/11/2019;4.373
Arroyo de la Encomienda;Personas;18/11/2019;20.179
Arroyo de la Luz;Personas;18/11/2019;5.811
Arroyo de San Serván y Torremejía;Personas;18/11/2019;6.357
Arroyo del Ojanco y otros municipios;Personas;18/11/2019;6.715
Arroyomolinos;Personas;18/11/2019;31.396
Artà;Personas;18/11/2019;7.845
Artajona y otros municipios;Personas;18/11/2019;4.701
Artana y otros municipios;Personas;18/11/2019;5.239
Arteixo;Personas;18/11/2019;32.262
Artesa de Segre y otros municipios;Personas;18/11/2019;7.864
Arucas;Personas;18/11/2019;38.138
Arzúa y Santiso;Personas;18/11/2019;7.625
Ascó y otros municipios;Personas;18/11/2019;5.686
Aspe;Personas;18/11/2019;20.714
Astigarraga;Personas;18/11/2019;6.532
Astillero, El;Personas;18/11/2019;18.111
Astorga;Personas;18/11/2019;10.867
Astudillo y otros municipios;Personas;18/11/2019;4.984
Atarfe;Personas;18/11/2019;18.706
Ateca y otros municipios;Personas;18/11/2019;4.961
Autol y Quel;Personas;18/11/2019;6.570
Ávila (distrito 04) y otros municipios;Personas;18/11/2019;22.110
Ávila (distrito 05);Personas;18/11/2019;10.786
Ávila (distrito 06) y Berrocalejo de Aragona;Personas;18/11/2019;18.437
Ávila (distritos 01 a 03) y otros municipios;Personas;18/11/2019;9.600
Avilés (sección 028 y otras secciones del distrito 01);Personas;18/11/2019;24.693
Avilés (sección 036 y otras secciones del distrito 01);Personas;18/11/2019;24.872
Avilés (sección 053 y otras secciones del distrito 01);Personas;18/11/2019;28.617
Avinyonet de Puigventós y otros municipios;Personas;18/11/2019;5.929
Avión y otros municipios;Personas;18/11/2019;6.230
Ayala/Aiara y otros municipios;Personas;18/11/2019;5.983
Ayamonte y Villablanca;Personas;18/11/2019;23.794
Ayegui/Aiegi y otros municipios;Personas;18/11/2019;5.570
Ayerbe y otros municipios;Personas;18/11/2019;5.970
Ayora;Personas;18/11/2019;5.312
Azagra y Funes;Personas;18/11/2019;6.283
Azkoitia;Personas;18/11/2019;11.633
Aznalcázar y Villamanrique de la Condesa;Personas;18/11/2019;9.045
Aznalcóllar;Personas;18/11/2019;6.091
Azpeitia;Personas;18/11/2019;14.936
Azuaga y otros municipios;Personas;18/11/2019;10.745
Azuqueca de Henares;Personas;18/11/2019;35.009
Badajoz (distrito 01);Personas;18/11/2019;9.934
Badajoz (distrito 02);Personas;18/11/2019;8.621
Badajoz (distrito 03);Personas;18/11/2019;17.687
Badajoz (distrito 04);Personas;18/11/2019;22.722
Badajoz (distrito 05);Personas;18/11/2019;10.762
Badajoz (distrito 06);Personas;18/11/2019;6.912
Badajoz (distrito 07);Personas;18/11/2019;21.622
Badajoz (distrito 08) y otros municipios;Personas;18/11/2019;21.614
Badajoz (distrito 09);Personas;18/11/2019;21.990
Badajoz (distrito 10);Personas;18/11/2019;16.283
Badalona (distrito 01);Personas;18/11/2019;7.840
Badalona (distrito 02);Personas;18/11/2019;18.433
Badalona (distrito 03);Personas;18/11/2019;18.208
Badalona (distrito 04);Personas;18/11/2019;26.924
Badalona (distrito 05);Personas;18/11/2019;11.933
Badalona (distrito 06);Personas;18/11/2019;7.687
Badalona (distrito 07);Personas;18/11/2019;40.797
Badalona (distrito 08);Personas;18/11/2019;19.573
Badalona (distrito 09);Personas;18/11/2019;69.045
Badia del Vallès (sección 006 y otras secciones del distrito 01);Personas;18/11/2019;11.076
Baena y Valenzuela;Personas;18/11/2019;20.415
Baeza;Personas;18/11/2019;15.841
Bagà y otros municipios;Personas;18/11/2019;4.618
Bailén;Personas;18/11/2019;17.667
Baiona y Oia;Personas;18/11/2019;15.175
Bakio y otros municipios;Personas;18/11/2019;4.917
Balaguer;Personas;18/11/2019;17.162
Balazote y otros municipios;Personas;18/11/2019;5.851
Balenyà y otros municipios;Personas;18/11/2019;6.228
Balmaseda;Personas;18/11/2019;7.697
Balsareny y Castellnou de Bages;Personas;18/11/2019;4.556
Baltanás y otros municipios;Personas;18/11/2019;4.690
Banyeres de Mariola;Personas;18/11/2019;7.068
Banyoles;Personas;18/11/2019;19.826
Bañeza, La;Personas;18/11/2019;10.338
Baños de Molgas y otros municipios;Personas;18/11/2019;6.747
Baños de Río Tobía y otros municipios;Personas;18/11/2019;5.021
Barajas de Melo y otros municipios;Personas;18/11/2019;4.901
Barakaldo (distrito 01);Personas;18/11/2019;7.329
Barakaldo (distrito 02);Personas;18/11/2019;15.019
Barakaldo (distrito 03);Personas;18/11/2019;7.386
Barakaldo (distrito 04);Personas;18/11/2019;11.009
Barakaldo (distrito 05);Personas;18/11/2019;15.013
Barakaldo (distrito 06);Personas;18/11/2019;14.122
Barakaldo (distrito 07);Personas;18/11/2019;9.033
Barakaldo (distrito 08);Personas;18/11/2019;9.629
Barakaldo (distrito 09);Personas;18/11/2019;12.341
Barañain;Personas;18/11/2019;20.199
Barbadás y otros municipios;Personas;18/11/2019;14.741
Barbastro;Personas;18/11/2019;16.979
Barbate;Personas;18/11/2019;22.518
Barberà del Vallès;Personas;18/11/2019;33.091
Barcarrota y Salvaleón;Personas;18/11/2019;5.265
Barcelona (SCD Can Baró);Personas;18/11/2019;9.198
Barcelona (SCD Canyelles);Personas;18/11/2019;6.879
Barcelona (SCD Diagonal Mar i el Front Marítim del Poblenou);Personas;18/11/2019;13.501
